Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImpl,callAnalysisServiceHotspot,9,1,1,124,0,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisService,cloneRepository,0,1,1,7,0,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisService,generateOneCommitReport,0,1,3,14,0,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisService,callAnalysisServiceOneCommit,0,1,1,24,0,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisService,generateTrendAnalysisReport,0,1,3,31,0,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisService,callAnalysisServiceTrend,0,1,1,41,0,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisService,generateHotspotReport,0,1,2,48,0,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisService,callAnalysisServiceHotspot,0,1,1,57,0,,
code-quality-analyzer-backend,code.quality.analyzer.util,GitRepositoryTest,setUp,3,1,0,20,0,,
code-quality-analyzer-backend,code.quality.analyzer.util,GitRepositoryTest,tearDown,8,1,0,25,0,,
code-quality-analyzer-backend,code.quality.analyzer.util,GitRepositoryTest,testCloneRepoSuccess,5,1,0,34,1,,
code-quality-analyzer-backend,code.quality.analyzer.util,GitRepositoryTest,testCloneRepoSkip,12,1,0,41,1,,
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtilTest,setUp,5,1,0,35,0,,
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtilTest,testGetCommitIdsForOneCommitAndHotspot,7,1,0,42,1,,
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtilTest,testGetCommitIdsForTrend,11,2,2,51,0,,
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtilTest,testGetCommitIdsOneCommitExceptionAndHotspot,7,1,0,64,1,,
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtilTest,testGenerateReportsForOneCommitAndHotspot,6,1,0,73,1,,
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtilTest,testGenerateReportsForException,4,1,0,81,1,,
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtilTest,testGenerateReportsForTrend,12,1,0,87,1,,
code-quality-analyzer-backend,code.quality.analyzer.util,GitRepository,GitRepository,10,1,2,18,0,,
code-quality-analyzer-backend,code.quality.analyzer.util,GitRepository,cloneRepo,15,2,0,37,0,,
code-quality-analyzer-backend,code.quality.analyzer.util,GitRepository,getLocalRepoFullPath,3,1,0,60,0,,
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtil,getCommitIds,11,2,3,21,0,code.quality.analyzer.util.CommitsAnalysisUtil,code.quality.analyzer.util.CommitsAnalysisUtil
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtil,checkoutAndValidate,12,2,2,41,0,,
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtil,generateReports,17,4,3,63,0,,
code-quality-analyzer-backend,code.quality.analyzer.model,AnalysisServiceRequest,getReportPath,3,1,0,8,0,,
code-quality-analyzer-backend,code.quality.analyzer.model,AnalysisServiceRequest,setReportPath,3,1,1,11,0,,
code-quality-analyzer-backend,code.quality.analyzer.model,TrendAnalysisRequest,getCommitsData,3,1,0,11,0,,
code-quality-analyzer-backend,code.quality.analyzer.model,TrendAnalysisRequest,setCommitsData,3,1,1,14,0,,
code-quality-analyzer-backend,code.quality.analyzer.model,TrendAnalysisRequest,getPreviousCommit,3,1,0,17,0,,
code-quality-analyzer-backend,code.quality.analyzer.model,TrendAnalysisRequest,setPreviousCommit,3,1,1,20,0,,
code-quality-analyzer-backend,code.quality.analyzer.model,CommitAnalysisRequest,getGitRepoLink,3,1,0,10,0,,
code-quality-analyzer-backend,code.quality.analyzer.model,CommitAnalysisRequest,setGitRepoLink,3,1,1,13,0,,
code-quality-analyzer-backend,code.quality.analyzer.model,CommitAnalysisRequest,getBranch,3,1,0,16,0,,
code-quality-analyzer-backend,code.quality.analyzer.model,CommitAnalysisRequest,setBranch,3,1,1,19,0,,
code-quality-analyzer-backend,code.quality.analyzer.model,CommitAnalysisRequest,getCommitId,3,1,0,22,0,,
code-quality-analyzer-backend,code.quality.analyzer.model,CommitAnalysisRequest,setCommitId,3,1,1,25,0,,
code-quality-analyzer-backend,code.quality.analyzer.model,CommitAnalysisRequest,getNoOfCommits,3,1,0,28,0,,
code-quality-analyzer-backend,code.quality.analyzer.model,CommitAnalysisRequest,setNoOfCommits,3,1,1,31,0,,
code-quality-analyzer-backend,code.quality.analyzer.exception,CommitsAnalysisExceptionHandler,handleIncorrectRepoPathException,3,1,2,20,0,,
code-quality-analyzer-backend,code.quality.analyzer.exception,CommitsAnalysisExceptionHandler,handleInvalidBranchException,3,1,2,25,0,,
code-quality-analyzer-backend,code.quality.analyzer.exception,CommitsAnalysisExceptionHandler,handleInvalidCommitsException,3,1,2,31,0,,
code-quality-analyzer-backend,code.quality.analyzer.exception,InvalidCommitsException,InvalidCommitsException,2,1,0,9,0,,
code-quality-analyzer-backend,code.quality.analyzer.exception,InvalidCommitsException,InvalidCommitsException,3,1,1,11,0,,
